source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,mass_flame,mass_flame_lower,mass_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,radius_flame,radius_flame_lower,radius_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame
6192641081831733760,200.9054247040076,-25.913566425966554,2016.0,71.11912568785725,0.03888711,-614.1950238876911,0.044852212,-231.1144785107586,0.03193524,-16.878323,0.53686345,false,,,,,,,,,,,,,,,,,,,
6213248060043565184,230.55627655949746,-27.825797312308065,2016.0,85.47315562000797,0.02547793,436.3690044056893,0.028720114,606.7652807971804,0.02573414,6.5983415,0.36201146,false,,,,,,,,,,,,,,,,,,,
6224387727748521344,224.1569594505724,-28.167254151481732,2016.0,141.7891196305653,0.061730128,-490.2852812222616,0.07766933,-843.4820597523562,0.061251283,,,false,,,,,,,,,,,,,,,,,,,
6232511606838403968,224.37159427348143,-21.423140396261676,2016.0,169.8842702825854,0.06534182,1031.4718694823848,0.06761191,-1723.6189029383202,0.05478082,26.751173,0.1185184,false,4503.0303,4499.257,4504.588,-0.0429,-0.0728,-0.0327,,,,0.2294845,0.22447647,0.23449643,0.78705245,0.7691211,0.804987,,,,20
6235533167875990272,238.1869310006881,-26.38915421137295,2016.0,94.3572802841624,0.05277486,211.44070556220115,0.06557489,-452.92129506068454,0.03863688,,,false,,,,,,,,,,,,,,,,,,,
6254033894121581952,235.51777703710027,-19.476366652438784,2016.0,103.17978190067224,0.31588787,-2009.7472541822233,0.37900707,-1037.933000103394,0.2902776,83.180595,0.8976652,false,,,,,,,,,,,,,,,,,,,
6265453524968112640,233.73300367948724,-14.315148845721595,2016.0,91.42155251977951,0.111615576,-918.8055661272465,0.136389,-330.22722596645525,0.10076515,,,false,,,,,,,,,,,,,,,,,,,
6265472113586221696,234.2422080286334,-14.136617153353082,2016.0,71.46559757077088,0.036207017,-449.25950057716625,0.041283708,-629.4254580170954,0.031748403,2.1953127,0.28522396,false,,,,,,,,,,,,,,,,,,,
6282457918962299776,221.85046184472634,-17.70590074914838,2016.0,75.19475017006016,0.05011494,-1098.5181889818268,0.05838299,-342.9442109685788,0.051958296,,,false,,,,,,,,,,,,,,,,,,,
6288325222245417856,207.42829872177768,-22.113288890480284,2016.0,71.07799890467766,0.03179052,-1749.8611811161343,0.03189041,-494.2076345413317,0.032460973,-37.947113,0.12865575,false,4214.972,4209.7393,4235.2886,0.0275,3.0E-4,0.131,,,,0.17638902,0.17128107,0.18140657,0.7876666,0.7682183,0.80699724,,,,20
6290519435137636224,209.7907314283468,-19.835179948860276,2016.0,92.4688775242243,0.03874835,-560.3784835503519,0.0459812,-187.03277124503597,0.042049095,-16.392843,0.2654788,false,,,,,,,,,,,,,,,,,,,
6294928369390563968,206.45987655621826,-17.97068075088794,2016.0,89.32557498587661,0.022517212,-307.0500092094584,0.028078178,-552.440218063657,0.02312973,4.571875,0.21143243,false,3071.4053,3070.586,3072.2249,-0.7144,-0.7172,-0.7116,,,,0.015101242,0.010101227,0.020101255,0.43400043,0.36162934,0.5063715,,,,20
6305165514134625024,224.97665286074593,-18.53775641089888,2016.0,174.02530425165742,1.9005988,8.935928343633153,1.8164712,-9.867716145115926,1.9178163,,,false,,,,,,,,,,,,,,,,,,,
6306068659857135232,226.94794579637428,-16.46512505032577,2016.0,134.94740215429607,0.26107797,-151.7946199185767,0.25991312,-896.0121327952546,0.2785964,,,false,,,,,,,,,,,,,,,,,,,
6322070093095493504,229.85630133329227,-7.722707024157902,2016.0,158.71827296463243,0.030101538,-1221.2776289653712,0.03665181,-97.22923861858034,0.026740635,-9.745852,0.15540636,false,3110.4065,3109.4316,3112.2974,-0.849,-0.8534,-0.8353,,,,0.013071743,0.01,0.018071767,0.3936949,0.34677213,0.46940088,,,,20
6324308389531786112,217.7529796815058,-12.297869679498262,2016.0,91.89623713745944,0.035875946,-408.1044787325877,0.037082322,-398.6949525305071,0.02983701,-1.9218786,0.19904818,false,,,,,,,,,,,,,,,,,,,
6324325225803432320,218.56843175696892,-12.516923853592898,2016.0,159.9225477824956,0.054619387,-355.1381150377546,0.052832775,593.0401507540619,0.043415446,-1.359221,0.19820952,false,3000.055,3000.0105,3000.2742,-0.5936,-0.5951,-0.5922,,,,0.010188823,0.01,0.015188837,0.37362376,0.36538824,0.465603,,,,20
6329012134635132544,215.02796559698476,-9.624114325252524,2016.0,72.32443281623743,0.041002966,-608.7650571458065,0.039551117,-838.8453755509577,0.033096973,54.025463,0.23237763,false,3232.728,3231.5818,3236.0803,-0.0729,-0.0782,-0.0557,,,,0.008966234,0.01,0.013966371,0.30183282,0.28341544,0.38620955,,,,20
6343965492773694464,352.6454136504384,-84.92220191651951,2016.0,78.61123864207802,0.026747927,-271.9750928878552,0.032675244,-62.770316560507894,0.031883217,-6.386483,0.5176184,false,,,,,,,,,,,,,,,,,,,
6347643496607835520,290.23830738848443,-82.55995922053808,2016.0,80.11338272909568,0.020635756,342.29999589806636,0.025329312,-1230.296500318068,0.022139486,-10.585916,0.23887245,false,,,,,,,,,,,,,,,,,,,
6349094336559890944,311.67110431814064,-81.72287607644574,2016.0,93.74305337655306,0.018379763,539.7691657869254,0.0244798,-544.2410286970076,0.02110478,-16.085304,0.21594591,false,,,,,,,,,,,,,,,,,,,
6363251682639715968,307.02948825519866,-76.67659445129135,2016.0,77.69580022013473,0.020767504,723.6617004485491,0.020212958,-1242.6229919721334,0.022804765,26.241302,0.34726137,false,,,,,,,,,,,,,,,,,,,
6364795328244240256,272.81643002055984,-78.98860780809746,2016.0,85.71192211427798,0.11387588,97.70128424404234,0.1002069,278.7293390746022,0.12798437,16.128061,3.7059186,false,,,,,,,,,,,,,,,,,,,
6364795328246346112,272.81495048666767,-78.9883353114025,2016.0,85.6340687124235,0.4624373,64.590835937985,0.4091081,297.74216518369593,0.48490056,12.781483,3.3195708,false,,,,,,,,,,,,,,,,,,,
