query_id,main_id,ra,dec,otype,sp_type,ids,V
"CNS5 1121","EGGR 180",67.80238099867749,58.978136863278614,"WD*","DC5","** STI 2051B|GJ 169.1 B|Gaia DR3 470826482637310848|CNS5 1121|TYC 3744-2062-1|ASCC  176743|LSPM J0431+5858E|8pc 181.36B|AC +58  2500|CCDM J04312+5858B|CSI+58-04268  2|EGGR 180|G 175-34B|IDS 04224+5849 B|KPD 0426+5852|LHS    27|NLTT 13375|UBV    4296|USNO 121|USNO 808|WD 0426+588|Zkh  63|WDS J04312+5858B|UCAC4 745-033849|NAME Stein 2051 B|Gaia DR2 470826482635701376|PM J04312+5858|TYC 3744-412-1",
"CNS5 1133","G   8-41",68.39151264257374,20.74606725061666,"PM*","M5V","GJ 3296|Gaia DR3 144312344255035392|2MASS J04333393+2044461|LSPM J0433+2044|UCAC2  39094444|USNO-B1.0 1107-00053613|CNS5 1133|G   8-41|LHS  1681|LTT 11454|NLTT 13501|PM 04306+2039|[GKL99] 121|[RHG95]   786|1RXS J043334.8+204437|WISEA J043334.29+204442.5|UCAC4 554-009821|PM J04335+2044|TIC 61258139|Gaia DR2 144312344255035392|Karmn J04335+207",14.53
"CNS5 1140","LP  775-31",68.81728611414333,-16.115892586485558,"Em*","M8Ve","TIC 117733581|Gaia DR3 3171631420210205056|SIPS J0435-1607|2MUCD 10302|2MASS J04351612-1606574|2MASSI J0435161-160657|CNS5 1140|LP  775-31|NLTT 13580|USNO-B1.0 0738-00044692|[B2006] J043516.1-160657|WISEA J043516.26-160653.9|Gaia DR2 3171631420210205056|Karmn J04352-161|WISE J043516.24-160653.9|** CRC   47A|WDS J04353-1607A",17.82
"CNS5 1151","HD 232979",69.42054340448459,52.89361471123277,"PM*","M0.5V","TIC 274545692|MCC 449|GJ 172|HIP 21553|Gaia DR3 272855565763652480|CNS5 1151|2MASS J04374092+5253372|PLX 1010|LSPM J0437+5253|TYC 3732-542-1|ASCC  244104|USNO-B1.0 1428-00155067|AG+52  450|BD+52   857|Ci 18  594|Ci 20  298|G 175-42|G 191-4|GCRV  2695|GEN# +1.00232979|HD 232979|HIC  21553|IRAS 04337+5247|L 1742-6|LFT  362|LHS  1688|LTT 11464|NLTT 13604|PPM  29269|SAO  24722|UBV    4415|UBV M  27782|VVO 235|YZ  52  1893|YZC 26  1893|[GKL99] 123|[RHG95]   799|PLX 1010.00|1RXS J043740.6+525346|WISEA J043741.24+525332.2|UCAC4 715-033323|PM J04376+5253|Gaia DR1 272855561463141248|WEB  4137|Gaia DR2 272855565762295680|Karmn J04376+528|** CSN    6A|WDS J04377+5254A|WISE J043741.26+525332.2",8.648
"CNS5 1152","BD-11   916",69.42444074397,-11.038881141489998,"PM*","M1V","TIC 55997717|StKM 2-373|GJ 173|HIP 21556|Gaia DR3 3184351876391975808|2MASS J04374188-1102198|PLX 1026|BD-11   916|CNS5 1152|GCRV  2717|GEN# -0.01100916|HIC  21556|LP  715-52|LTT  2050|MCC 106|NLTT 13657|PPM 710831|UBV M   5319|[RHG95]   804|PLX 1026.00|TYC 5324-581-1|UCAC4 395-006371|PM J04376-1102|Gaia DR1 3184351872093838592|WEB  4138|Gaia DR2 3184351876391975808|Karmn J04376-110",10.331
"CNS5 1153","EGGR  41",69.4475302869571,-8.819616626012502,"WD*","DQ8","TIC 55997020|PSO J069.4484-08.8251|GJ 3306|Gaia DR3 3186021141200137472|CNS5 1153|CSI-08-04354|EGGR  41|L  879-14|LFT  367|LHS   194|LP  655-42|LTT  2049|NLTT 13658|PM 04354-0854|UBV    4469|USNO 593|WD 0435-088|WD 0435-08|PLX 1026.01|2MASS J04374739-0849089|Gaia DR2 3186021141200137472|WISEA J043747.57-084926.7",14.1
"CNS5 1154","G  39-29B",69.55244164947874,28.216751133498892,"PM*","M4.5","GJ 3304 B|Gaia DR3 157915472050611456|CNS5 1154|WDS J04382+2813B|G  39-29B|** BEU    6B|Gaia DR2 157915472050611456",
"CNS5 1155","G  39-29A",69.55271864669623,28.216622407871103,"PM*","M4.0","GJ 3304 A|Gaia DR3 157915536473892224|CNS5 1155|WDS J04382+2813A|G  39-29A|** BEU    6A|Gaia DR2 157915536473892224",
"CNS5 1159","2MASS J04390101-2353083",69.75418685417,-23.88569310758,"BD*","L4.5","TIC 121592290|Gaia DR3 4894945708668731264|[B2006] J043901.0-235308|2MUCD 10312|2MASS J04390101-2353083|2MASSI J0439010-235308|CNS5 1159|Gaia DR2 4894945708668731264",
"CNS5 1160","LP  415-302",69.88175829441624,16.26193199818361,"PM*","M5.5Ve","TIC 245914064|Gaia DR3 3310083401849536384|LSPM J0439+1615|UCAC2  37486060|2MASS J04393163+1615447|USNO-B1.0 1062-00049239|CNS5 1160|LHS  1690|LP  415-302|NLTT 13692|WISEA J043931.56+161534.7|Gaia DR2 3310083401849536384",15.74
"CNS5 1165","LP  655-48",70.09697765371793,-5.502257051108334,"LM*","M7.5Ve","TIC 298907057|LAMOST J044023.56-053006.4|Gaia DR3 3200303384927512960|SIPS J0440-0530|2MUCD 10316|2MASS J04402325-0530082|2MASSI J0440232-053008|CNS5 1165|LP  655-48|NLTT 13728|USNO-B1.0 0844-00044961|[FS2003] 0212|1RXS J044022.8-053020|[B2006] J044023.2-053008|DENIS J044023.1-053009|WISEA J044023.50-053006.7|Gaia DR2 3200303384927512960",17.79
"CNS5 117","V* DY Psc",6.1026322531499995,-1.9722095588899993,"BY*","M9.5V","TIC 244167275|WISE J002424.58-015818.4|Gaia DR3 2541756977144595712|CNS5 117|2MUCD 10018|2MASS J00242463-0158201|2MASSI J0024246-015819|NLTT  1261|USNO-B1.0 0880-00006910|V* DY Psc|[RHG95]  3810|PLX   65.11|[B2006] J002424.6-015820|WISEA J002424.57-015818.4|BRI B0021-0214|BRI B0021-02|Gaia DR2 2541756977144595712",19.42
"CNS5 1172","HD  29697",70.32856338126459,20.901513035391943,"BY*","K4V","TIC 118820774|StKM 2-376|GJ 174|HIP 21818|Gaia DR3 3411339626674506624|2MASS J04411888+2054058|PLX 1039|LSPM J0441+2054|TYC 1279-1854-1|ASCC  750255|1RXS J044119.0+205410|2RE J044119+205353|2RE J0441+205|AG+20  433|BD+20   802|CNS5 1172|Ci 18  605|G   8-51|G  85-4|GC  5699|GCRV 55316|GEN# +1.00029697|HD  29697|HIC  21818|IRAS 04383+2048|LTT 11486|NLTT 13741|PPM  93689|RE J044117+205347|RE J0441+205|SAO  76708|SKY#  7279|SV* SVS  2560|UBV M  10272|V* V834 Tau|YZ  20  1492|YZC 25  1492|[FS2003] 0213|[GKL99] 126|USNO-B1.0 1109-00056264|PLX 1039.00|2EUVE J0441+20.9|EUVE J0441+20.9|RX J0441.3+2053|ASAS J044119+2054.1|WISEA J044118.70+205402.8|UCAC4 555-010645|Gaia DR1 3411339622378394624|uvby98 100029697|WEB  4195|Gaia DR2 3411339626673664000|** LWR    5A|WDS J04413+2054A",7.985
"CNS5 1176","PM J04429+2128",70.73275567761,21.47304307355,"PM*","M3.5V","TIC 397356212|WISEA J044255.88+212824.1|LAMOST J044255.90+212824.7|Gaia DR3 3411398347466374144|CNS5 1176|UCAC3 223-23449|UCAC4 558-011033|2MASS J04425586+2128230|WISE J044255.87+212824.2|PM J04429+2128|Gaia DR2 3411398347466374144|Karmn J04429+214",11.93
"CNS5 1177","HD 285968",70.73239591997876,18.958165540845552,"PM*","M2.5V","TIC 397354290|GJ 176|HIP 21932|Gaia DR3 3409711211681795584|AP J04425581+1857285|2MASS J04425581+1857285|PLX 1046|LSPM J0442+1857|ASCC  838914|UCAC2  38384336|USNO-B1.0 1089-00054746|BD+18   683|CNS5 1177|Ci 20  303|G  85-9|G  83-32|G   8-55|GCRV  2763|GEN# +1.00285968|GEN# +0.01800683|HD 285968|HIC  21932|JP11  3797|LFT  372|LHS   196|LTT 11495|MCC 107|NLTT 13785|PM 04400+1853|Ross   33|TYC 1275-2034-1|UBV    4524|UBV M    869|VVO 203|Zkh  64|[HFE83]  320|[RHG95]   817|PLX 1046.00|IRAS 04399+1852|AKARI-IRC-V1 J0442561+185721|Gaia DR2 3409711211681795584|WISEA J044256.24+185718.0|UCAC4 545-010524|PM J04429+1857|Gaia DR1 3409711211297795584|WEB  4214|Karmn J04429+189|1RXS J044254.6+185718",9.951
"CNS5 1198","*  58 Eri",71.90121542891,-16.93445568682,"BY*","G2.5IV-V","TIC 117979951|GJ 177|HIP 22263|Gaia DR3 2980492387558410112|2MASS J04473628-1656041|PLX 1070|V* IX Eri|GSC 05892-01953|NSV 16168|IRAS 04453-1701|*  58 Eri|BD-17   954|CNS5 1198|GC  5843|GCRV  2813|GEN# +1.00030495|HD  30495|HIC  22263|HR  1532|JP11   927|LTT  2088|NLTT 13953|PPM 214826|RBS   587|SAO 149888|SKY#  7440|SPOCS  226|TD1  3566|UBV    4601|UBV M  10339|YZ 107  1319|uvby98 100030495|PLX 1070.00|1RXS J044736.3-165608|2EUVE J0447-16.9|EUVE J0447-16.9|TYC 5892-1953-1|WISEA J044736.40-165602.0|WEB  4286|Gaia DR2 2980492387558410112",5.5
"CNS5 12","L  362-29",1.1518230611379165,-40.73413337842029,"PM*","M4V","TIC 120459870|GJ 1001|Gaia DR3 4996141155411983744|CNS5 12|GEN# +9.85988102|L  362-29|LFT    3|LHS   102|LP  988-102|LTT    20|PM 00022-4058|[RHG95]     3|2MASS J00043643-4044020|PLX 5815.01|WDS J00046-4044A|** ERO    1A|GJ 1001 A|WISEA J000437.07-404418.8|GCRV 26224|PM J00046-4044|UCAC4 247-000085|Gaia DR2 4996141155411983744|NLTT   117|LEHPM 134",12.84
